2025-02-26 at 14:22:26 | INFO | Бот запущен...
2025-02-26 at 14:25:24 | INFO | Бот запущен...
2025-02-26 at 14:25:28 | INFO | Бот успешно запущен.
2025-02-26 at 14:25:28 | SUCCESS | Вебхук установлен: https://4x7m5d-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 14:25:30 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:25:30 | ERROR | Ошибка при обработке обновления с вебхука: cmd_start() got multiple values for argument 'dialog_manager'
2025-02-26 at 14:27:21 | INFO | Бот остановлен...
2025-02-26 at 14:27:21 | ERROR | Бот остановлен!
2025-02-26 at 14:27:31 | INFO | Бот запущен...
2025-02-26 at 14:27:31 | INFO | Бот успешно запущен.
2025-02-26 at 14:27:31 | SUCCESS | Вебхук установлен: https://4x7m5d-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 14:27:34 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:27:34 | INFO | Обновление успешно обработано.
2025-02-26 at 14:27:37 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:27:38 | INFO | Обновление успешно обработано.
2025-02-26 at 14:27:43 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:27:43 | INFO | Обновление успешно обработано.
2025-02-26 at 14:27:44 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:27:45 | INFO | Обновление успешно обработано.
2025-02-26 at 14:27:54 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:27:54 | INFO | Обновление успешно обработано.
2025-02-26 at 14:27:57 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:27:57 | INFO | Обновление успешно обработано.
2025-02-26 at 14:28:02 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:28:02 | INFO | Обновление успешно обработано.
2025-02-26 at 14:28:05 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:28:05 | INFO | Обновление успешно обработано.
2025-02-26 at 14:32:00 | INFO | Бот остановлен...
2025-02-26 at 14:32:00 | ERROR | Бот остановлен!
2025-02-26 at 14:32:08 | INFO | Бот запущен...
2025-02-26 at 14:32:08 | INFO | Бот успешно запущен.
2025-02-26 at 14:32:08 | SUCCESS | Вебхук установлен: https://4x7m5d-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 14:32:19 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:32:19 | INFO | Обновление успешно обработано.
2025-02-26 at 14:32:28 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:32:28 | INFO | Обновление успешно обработано.
2025-02-26 at 14:32:31 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:32:31 | INFO | Обновление успешно обработано.
2025-02-26 at 14:32:33 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:32:33 | INFO | Обновление успешно обработано.
2025-02-26 at 14:32:41 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:32:41 | INFO | Обновление успешно обработано.
2025-02-26 at 14:45:20 | INFO | Бот остановлен...
2025-02-26 at 14:45:20 | ERROR | Бот остановлен!
2025-02-26 at 14:45:30 | INFO | Бот запущен...
2025-02-26 at 14:45:30 | INFO | Бот успешно запущен.
2025-02-26 at 14:45:30 | SUCCESS | Вебхук установлен: https://4x7m5d-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 14:45:35 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:45:35 | INFO | Обновление успешно обработано.
2025-02-26 at 14:45:42 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:45:42 | INFO | Запись User с ID 5127841744 не найдена.
2025-02-26 at 14:45:42 | INFO | Обновление успешно обработано.
2025-02-26 at 14:45:57 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:45:57 | INFO | Обновление успешно обработано.
2025-02-26 at 14:45:59 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:46:00 | INFO | Обновление успешно обработано.
2025-02-26 at 14:46:01 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:46:01 | INFO | Обновление успешно обработано.
2025-02-26 at 14:46:04 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:46:04 | INFO | Добавление записи User с параметрами: {'id': 5127841744, 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko', 'nickname': 'Нагибатор!', 'gender': 'man', 'age': 22}
2025-02-26 at 14:46:04 | INFO | Запись User успешно добавлена.
2025-02-26 at 14:46:04 | INFO | Обновление успешно обработано.
2025-02-26 at 14:46:09 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:46:09 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 14:46:09 | INFO | Обновление успешно обработано.
2025-02-26 at 14:56:48 | INFO | Бот остановлен...
2025-02-26 at 14:56:48 | ERROR | Бот остановлен!
2025-02-26 at 14:56:56 | INFO | Бот запущен...
2025-02-26 at 14:56:56 | INFO | Бот успешно запущен.
2025-02-26 at 14:56:56 | SUCCESS | Вебхук установлен: https://4x7m5d-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 14:56:58 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:56:58 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 14:56:58 | ERROR | Ошибка при обработке обновления с вебхука: 'Settings' object has no attribute 'CHAT_WEBAPP_URL'
2025-02-26 at 14:57:34 | INFO | Бот остановлен...
2025-02-26 at 14:57:34 | ERROR | Бот остановлен!
2025-02-26 at 14:57:41 | INFO | Бот запущен...
2025-02-26 at 14:57:41 | INFO | Бот успешно запущен.
2025-02-26 at 14:57:41 | SUCCESS | Вебхук установлен: https://4x7m5d-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 14:57:43 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:57:43 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 14:57:43 | INFO | Обновление успешно обработано.
2025-02-26 at 14:58:00 | INFO | Получен запрос с вебхука.
2025-02-26 at 14:58:00 | INFO | Обновление успешно обработано.
2025-02-26 at 15:00:23 | INFO | Бот остановлен...
2025-02-26 at 15:00:23 | ERROR | Бот остановлен!
2025-02-26 at 15:00:33 | INFO | Бот запущен...
2025-02-26 at 15:00:33 | INFO | Бот успешно запущен.
2025-02-26 at 15:00:33 | SUCCESS | Вебхук установлен: https://4x7m5d-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 15:00:36 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:00:36 | INFO | Запись User с ID 5127841744 не найдена.
2025-02-26 at 15:00:37 | INFO | Обновление успешно обработано.
2025-02-26 at 15:01:14 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:01:14 | INFO | Обновление успешно обработано.
2025-02-26 at 15:01:17 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:01:17 | INFO | Обновление успешно обработано.
2025-02-26 at 15:01:20 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:01:20 | INFO | Обновление успешно обработано.
2025-02-26 at 15:01:22 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:01:22 | INFO | Добавление записи User с параметрами: {'id': 5127841744, 'username': 'yakvenalexx', 'first_name': 'Alexey', 'last_name': 'Yakovenko', 'nickname': 'Алекс', 'gender': 'man', 'age': 33}
2025-02-26 at 15:01:22 | INFO | Запись User успешно добавлена.
2025-02-26 at 15:01:22 | INFO | Обновление успешно обработано.
2025-02-26 at 15:04:06 | INFO | Бот остановлен...
2025-02-26 at 15:04:06 | ERROR | Бот остановлен!
2025-02-26 at 15:04:16 | INFO | Бот запущен...
2025-02-26 at 15:04:17 | INFO | Бот успешно запущен.
2025-02-26 at 15:04:17 | SUCCESS | Вебхук установлен: https://le7jdg-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 15:04:21 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:04:21 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:04:21 | INFO | Обновление успешно обработано.
2025-02-26 at 15:04:38 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:04:38 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:04:38 | INFO | Обновление успешно обработано.
2025-02-26 at 15:05:06 | INFO | Бот остановлен...
2025-02-26 at 15:05:06 | ERROR | Бот остановлен!
2025-02-26 at 15:05:14 | INFO | Бот запущен...
2025-02-26 at 15:05:14 | INFO | Бот успешно запущен.
2025-02-26 at 15:05:14 | SUCCESS | Вебхук установлен: https://le7jdg-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 15:05:15 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:05:16 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:05:16 | ERROR | Ошибка при обработке обновления с вебхука: Telegram server says - Bad Request: can't parse entities: Unsupported start tag "app.dao.models.user" at byte offset 0
2025-02-26 at 15:11:18 | INFO | Бот остановлен...
2025-02-26 at 15:11:18 | ERROR | Бот остановлен!
2025-02-26 at 15:11:26 | INFO | Бот запущен...
2025-02-26 at 15:11:26 | INFO | Бот успешно запущен.
2025-02-26 at 15:11:26 | SUCCESS | Вебхук установлен: https://le7jdg-85-175-194-59.ru.tuna.am/webhook
2025-02-26 at 15:11:28 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:11:28 | INFO | Запись User с ID 5127841744 найдена.
2025-02-26 at 15:11:28 | INFO | Обновление успешно обработано.
2025-02-26 at 15:11:29 | INFO | Получен запрос с вебхука.
2025-02-26 at 15:11:29 | INFO | Запись User с ID 5127841744 найдена.
